                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01243,                 2.0497,                 1.4891,                0.51228,                0.61491,                0.49749,                0.18056,                 0.0127,                 2.5566,                 1.3929,             0.00054065,             0.00054065,             0.00054065
                      2,                0.01171,                 1.5837,                 1.4201,                0.02416,                 0.1608,                0.01063,                0.00443,                0.01706,                 38.511,                 2.6628,              0.0010692,              0.0010692,              0.0010692
                      3,                0.01239,                 1.5224,                 1.5028,                0.09688,                0.27638,                0.04132,                0.01669,                    nan,                    nan,                    nan,              0.0015702,              0.0015702,              0.0015702
                      4,                  0.012,                 1.4131,                 1.5222,                0.11959,                0.01005,                0.00862,                0.00309,                0.02269,                 5.1131,                 7.3388,              0.0015432,              0.0015432,              0.0015432
                      5,                0.01225,                 1.4447,                 1.5147,                0.03155,                0.26382,                0.01758,                0.00847,                0.01451,                 33.739,                 1.9523,               0.001502,               0.001502,               0.001502
                      6,                0.01194,                  1.409,                 1.5034,                0.00753,                0.19598,                0.00415,                0.00224,                0.01869,                    inf,                 6.4871,              0.0014607,              0.0014607,              0.0014607
                      7,                 0.0118,                 1.3244,                 1.4791,                0.60513,                 0.4799,                0.52927,                0.24101,                0.01382,                 1.9864,                 1.6854,              0.0014195,              0.0014195,              0.0014195
                      8,                0.01171,                  1.273,                 1.4622,                0.45633,                0.55025,                0.45192,                0.19352,                0.01313,                 1.7967,                 1.6442,              0.0013782,              0.0013782,              0.0013782
                      9,                0.01146,                 1.2096,                  1.419,                0.70829,                0.61558,                0.65794,                0.26526,                0.01383,                 1.3725,                 1.7071,              0.0013369,              0.0013369,              0.0013369
                     10,                0.01103,                 1.1801,                 1.4405,                0.70154,                 0.6005,                0.64355,                0.24818,                 0.0139,                 1.4166,                 1.6787,              0.0012957,              0.0012957,              0.0012957
                     11,                0.01107,                 1.1313,                 1.3889,                 0.7046,                 0.5603,                0.64605,                0.26137,                0.01357,                 1.3849,                 1.6607,              0.0012544,              0.0012544,              0.0012544
